71	291
0	284
4	279
47	277
84	275
10	275
93	274
3	273
7	270
87	269
8	268
78	268
19	266
65	264
笑	263
44	263
59	262
66	261
14	261
64	260
24	260
88	259
Tracy	258
52	258
49	258
50	257
20	256
Jialu	255
81	255
55	255
2	255
76	253
73	253
62	253
33	253
94	252
83	252
61	252
Charlie	251
36	251
74	250
80	249
77	249
48	249
27	249
79	248
56	248
5	248
92	247
67	247
63	247
51	247
30	247
34	246
40	245
1	245
37	244
32	244
17	244
89	243
46	243
91	242
6	242
41	242
21	242
82	241
75	241
54	241
86	240
70	240
43	240
22	238
18	238
85	237
15	237
13	237
58	236
53	236
42	236
23	236
69	234
60	234
31	234
25	234
16	234
72	233
57	233
28	232
45	230
11	230
哭	228
68	228
12	224
39	223
26	223
29	222
35	221
38	220
90	214
9	213
