<<<<<<< HEAD
72	286
84	279
87	278
44	276
92	275
3	274
41	273
81	272
48	272
23	271
57	270
2	270
61	267
90	265
8	265
78	265
70	264
笑	263
22	263
17	263
52	262
49	262
15	261
10	261
Jialu	260
54	260
75	259
58	258
51	258
34	258
20	258
Tracy	257
46	257
27	257
80	256
5	256
14	255
6	254
42	254
74	253
66	253
91	252
88	252
1	252
89	251
39	251
35	251
33	251
11	251
37	250
32	250
24	249
60	248
64	247
4	247
18	247
69	246
28	246
哭	245
77	245
50	245
29	245
0	245
93	244
63	244
21	243
Charlie	242
82	242
47	242
26	242
13	242
85	241
76	241
68	241
16	241
55	240
36	239
9	238
7	237
94	236
71	236
65	236
59	236
31	236
56	234
83	231
53	231
38	229
19	229
79	227
67	227
86	226
73	226
45	225
25	225
62	223
12	220
43	219
40	216
30	210
=======
8	1292
11	1281
12	1279
9	1272
哭	1271
0	1270
10	1269
13	1262
7	1258
Jialu	1257
3	1255
6	1252
4	1248
5	1246
2	1245
1	1245
笑	1242
Charlie	1232
14	1227
Tracy	1216
>>>>>>> d616762ab6309b2b9264f30742cdb720101eaf57
